lon,lat,kg_class,bio5,bio14,elevation,presence
119.91130035013941,12.204477849963837,2.0,32.5,8.0,68.11041,0
120.77796355013982,16.079462349965638,2.0,34.2,8.0,98.53972,0
122.40295705014057,17.32945734996622,1.0,33.1,66.0,22.72204,0
120.9529628501399,15.729463749965475,2.0,34.4,8.0,75.773766,0
122.21129115014048,7.579496349961687,1.0,31.1,50.0,223.24739,0
120.90296305013987,14.246136349964786,2.0,33.1,14.0,212.74927,0
123.26962025014097,12.521143249963984,1.0,32.8,67.0,66.099625,0
125.32794535014193,8.162827349961958,1.0,30.1,155.0,519.0419,0
121.87795915014033,14.871133849965076,1.0,32.1,79.0,41.198414,0
125.9112763501422,9.212823149962446,1.0,32.0,153.0,37.61439,0
124.94461355014175,10.85448324996321,1.0,31.8,168.0,41.753765,0
120.28629885013959,15.596130949965413,2.0,30.6,5.0,693.16473,0
122.20295785014048,13.821138049964588,1.0,32.0,60.0,123.0572,0
121.45296085014013,14.004470649964674,2.0,30.9,49.0,431.90268,0
121.68629325014024,16.179461949965685,1.0,30.8,112.0,504.3919,0
122.9029550501408,14.14613674996474,1.0,32.7,129.0,9.418967,0
121.31962805014007,13.037807849964224,2.0,32.3,42.0,155.05743,0
120.9446295501399,18.521119249966773,1.0,31.4,68.0,171.97578,0
121.67795995014023,17.99612134996653,3.0,33.7,13.0,47.939976,0
121.52796055014016,14.10447024996472,1.0,29.0,58.0,655.09283,0
122.73628905014073,9.662821349962655,1.0,32.3,34.0,273.11664,0
124.79461415014168,7.137831449961482,1.0,33.8,105.0,18.873466,0
121.98629205014038,17.812788749966444,2.0,29.2,92.0,752.4913,0
120.41963165013965,15.079466349965173,2.0,31.9,7.0,347.22235,0
125.16127935014185,7.554496449961675,1.0,31.1,115.0,620.41235,0
123.25295365014097,7.6128295499617025,1.0,31.8,79.0,368.30365,0
124.06961705014135,12.904475049964162,1.0,32.0,149.0,63.164715,0
125.29461215014192,6.5545004499612105,1.0,33.2,90.0,133.5607,0
121.45296085014013,14.21280314996477,2.0,32.8,33.0,29.06588,0
125.21961245014188,11.837812649963666,1.0,30.2,178.0,265.57425,0
122.18629125014047,13.812804749964585,1.0,32.1,59.0,108.77262,0
122.66128935014069,10.529484549963058,2.0,33.4,33.0,32.549397,0
126.05294245014227,6.987832049961412,1.0,32.2,119.0,72.44066,0
124.06128375014134,6.771166249961311,1.0,32.3,97.0,238.79387,0
125.96960945014223,8.762824949962237,1.0,28.8,212.0,689.6007,0
122.75295565014073,10.871149849963217,1.0,33.5,54.0,2.8445046,0
124.07795035014135,13.646138749964507,1.0,30.6,168.0,223.21729,0
120.90296305013987,15.704463849965464,3.0,34.4,6.0,63.50583,0
122.18629125014047,13.662805349964515,1.0,32.5,51.0,4.5830297,0
125.01961325014179,10.687817249963132,1.0,31.9,171.0,14.820954,0
124.10295025014136,7.654496049961722,1.0,32.7,108.0,193.33559,0
117.9363082501385,8.987824049962342,2.0,31.4,23.0,178.64859,0
117.80297545013843,8.787824849962249,2.0,32.2,23.0,15.871104,0
119.15297005013906,5.404505049960676,1.0,31.5,119.0,22.547651,0
124.59461495014159,11.021149249963287,1.0,32.7,111.0,7.0421658,0
126.31127475014239,7.646162749961718,1.0,29.7,128.0,468.89316,0
121.90295905014034,17.187791249966153,1.0,34.7,41.0,51.707207,0
120.21129915013955,12.154478049963814,2.0,32.7,9.0,46.303005,0
121.22796175014003,12.25447764996386,2.0,33.1,16.0,172.72554,0
122.4779567501406,10.92114964996324,1.0,33.0,51.0,79.17973,0
119.94463355013943,11.854479249963674,2.0,32.9,10.0,43.061066,0
124.06128375014134,10.029486549962826,1.0,32.6,50.0,3.8747554,0
124.45294885014152,8.379493149962059,1.0,32.2,84.0,320.93372,0
120.67796395013977,18.51278594996677,2.0,32.5,29.0,103.85083,0
126.3362746501424,7.187831249961505,1.0,27.7,155.0,908.0609,0
125.94460955014222,7.26283094996154,1.0,28.9,161.0,723.988,0
123.87795115014126,8.012827949961888,1.0,32.7,127.0,91.706345,0
122.91962165014081,10.1878192499629,2.0,34.0,41.0,11.918898,0
125.01127995014178,11.054482449963302,1.0,32.0,158.0,6.0732403,0
121.35296125014008,18.187787249966618,2.0,33.3,37.0,50.752132,0
126.25294165014236,7.296164149961555,1.0,25.6,181.0,1397.13,0
125.79461015014215,9.446155549962555,1.0,29.4,173.0,558.4679,0
122.37795715014056,10.887816449963225,1.0,31.9,40.0,234.35551,0
119.05297045013901,10.112819549962865,3.0,30.1,16.0,425.9307,0
121.30296145014006,18.23778704996664,1.0,32.3,50.0,139.99533,0
120.76963025013981,17.637789449966363,2.0,33.0,9.0,155.92654,0
122.21962445014049,14.137803449964736,1.0,32.3,72.0,24.538204,0
124.56128175014157,7.67116264996173,15.0,25.3,131.0,1796.3147,0
120.43629825013966,14.479468749964894,2.0,32.8,7.0,269.69492,0
122.22795775014049,13.721138449964542,1.0,32.3,54.0,85.71134,0
122.31129075014053,11.02948254996329,1.0,27.1,53.0,1125.411,0
122.95295485014083,7.67116264996173,1.0,32.5,68.0,16.07982,0
117.91130835013848,8.92115764996231,2.0,32.2,23.0,94.85396,0
125.18627925014187,6.546167149961207,1.0,31.3,89.0,435.32724,0
121.09462895013996,12.746142349964089,2.0,32.0,27.0,408.47305,0
124.06128375014134,10.262818949962934,1.0,32.9,41.0,4.7327642,0
122.4696234501406,11.079482349963314,1.0,32.8,58.0,87.14357,0
121.04462915013994,13.296140149964344,1.0,29.3,40.0,567.1949,0
121.08629565013996,16.954458849966045,12.0,25.0,67.0,1514.3148,0
121.07796235013996,16.871125849966006,2.0,28.2,85.0,983.03107,0
122.0446251501404,13.921137649964635,1.0,32.1,62.0,116.03518,0
125.08627965014182,6.4211676499611485,1.0,29.1,106.0,958.7163,0
123.27795355014098,10.196152549962903,1.0,32.8,68.0,118.92292,0
124.35294925014148,9.904487049962768,1.0,32.8,58.0,122.91737,0
124.66961465014163,11.187815249963364,1.0,28.4,140.0,775.6592,0
122.4612901501406,13.721138449964542,1.0,32.5,54.0,95.7526,0
121.74462635014027,14.10447024996472,1.0,31.7,56.0,185.27635,0
125.24461235014189,7.9378282499618535,1.0,31.2,133.0,454.59393,0
120.7446303501398,17.104458249966115,2.0,30.0,32.0,758.7224,0
